X	Y	Z
-29	59	-25
45	-8	-66
36	-59	-94
57	-3	24
-30	-56	-30
96	-4	13
-29	-59	-88
23	-20	-96
32	7	57
-58	-36	91
67	-83	-36
25	53	64
42	7	-67
-16	-2	-10
52	-33	-74
13	61	26
1	7	94
-7	67	15
-70	71	61
30	6	9
50	-91	95
-28	38	-17
69	59	79
-64	89	43
-15	-99	-2
-13	50	-84
100	60	-70
13	86	80
-81	-45	-83
-100	90	37
13	-68	35
-90	33	44
-26	-91	30
19	93	33
-1	-73	86
23	-50	47
-58	92	-71
98	-7	-46
-68	-52	47
-23	36	33
60	-56	30
20	-8	12
49	48	16
-40	-75	14
-49	-55	94
-88	-44	50
-1	-64	-37
-74	22	-55
18	-34	-64
-26	-57	-23
-47	-62	-85
-41	99	-60
-36	31	80
-72	78	78
19	-78	99
-54	-1	-64
-13	-73	-87
95	76	-59
-9	32	-38
-26	-70	94
18	33	-53
-95	-29	56
70	35	-67
-82	75	56
-4	41	-27
2	-51	13
26	-92	74
60	32	47
-5	9	79
78	-28	-96
-60	-17	-53
98	-64	99
-96	46	3
83	-9	15
15	52	81
-85	37	-26
-62	-73	46
-96	4	35
62	-77	-26
65	29	-31
-42	60	66
-27	41	0
-54	77	-45
-88	-99	57
32	100	18
-44	80	-98
-13	-46	70
26	62	-37
-79	87	83
-5	54	-94
93	37	100
-32	-57	62
-30	-76	-65
88	-57	-27
38	-52	80
93	43	-98
10	6	25
-10	17	-76
62	61	73
-81	-9	61
-17	49	40
-30	-25	-8
88	-24	-95
73	-84	34
-7	48	62
72	-73	-12
76	-38	-95
34	31	-70
42	80	36
-75	-59	45
40	23	2
27	24	-87
76	-96	-70
-61	35	-49
79	-41	-7
14	-53	-26
87	86	13
84	-77	4
-19	73	-51
-58	9	11
47	19	84
-66	-48	94
-94	67	-24
65	-83	92
-87	69	69
-11	-96	13
-72	-73	-24
76	-38	-10
-23	-66	-94
8	93	21
-71	-59	-16
-71	-30	3
21	-47	77
-41	73	-4
33	21	-9
57	89	19
85	-100	-1
-52	-92	-76
63	42	61
-35	-97	48
72	82	6
-65	63	6
26	-56	82
92	62	21
26	-99	90
38	-24	-79
-25	78	-92
-43	-12	41
-85	-94	54
-20	69	79
44	22	38
10	99	75
-43	82	66
100	76	20
21	65	-51
97	-16	79
-82	3	-29
-59	-80	-80
95	-50	-69
45	-63	-88
91	-86	-95
67	-1	78
45	-31	-81
86	94	-31
-21	43	28
46	99	-5
68	2	-82
11	-81	-84
-51	-59	-58
-89	33	-51
77	-26	-70
61	33	72
8	-14	43
-30	14	-36
15	40	18
48	62	25
83	61	-22
90	-84	3
-46	62	81
-86	-21	-90
-44	-94	-75
64	-73	10
70	-83	-43
84	-89	42
-40	-9	41
-18	93	87
-1	-48	-28
40	-72	-27
44	-25	-71
-55	92	-54
-88	54	49
89	-68	37
-96	-46	46
-38	-10	-50
-95	-89	35
65	-36	34
71	11	-86
-89	59	-93
22	-71	-66
-6	92	-10
