,R,G,B,R(LED on),,G(LED on),,B(LED on),,R(Red),,G(Green),,B(Blue),,,,,,
Coming up Roses,221,119,136,1078,214,730,132,1088,133,550,265,1556,137,2535,156,,0,26.04415953,0.9710818709,0.943
Luxurious Red,134,58,66,480,118,362,66,517,39,171,89,663,42,975,45,,0,60.71468296,0.9944847912,0.989
Stop,195,58,54,956,200,427,82,614,61,558,267,1046,93,1380,85,,0,18.21338169,0.9433981132,0.89
Brick Paver,147,64,47,533,130,372,69,471,28,196,109,816,65,885,33,,0.000000001439313446,7.540028424,0.76223356,0.581
Gold Coast,199,133,56,854,186,781,138,674,73,267,156,1071,95,855,29,,0.00005276924112,4.291886515,0.5567764363,0.31
Daisy,254,211,64,1520,254,1715,212,1129,138,456,237,2678,198,1245,73,,0.04815233943,1.70212111,0.2569046516,0.066
Cheerful,255,199,35,1520,254,1541,202,1014,124,293,170,1454,130,795,21,,0.001357710184,3.191554085,0.4460941605,0.199
Nankeen,170,128,58,650,154,741,133,626,63,190,105,969,84,960,43,,0,10.60933798,0.8561541917,0.733
Center Stage,178,194,22,780,176,1394,192,800,94,353,198,3009,211,1305,79,,0.00000007731366658,6.31409931,0.7021395873,0.493
Direct Green,63,138,36,302,63,744,134,530,43,84,-19,1989,165,1230,72,,0.0398638817,1.796856899,0.2701851217,0.073
Gecko,122,136,51,410,99,751,135,556,49,134,52,1224,110,975,45,,0.000005199027126,5.023531059,0.6172519745,0.381
Romaine,192,210,173,1034,209,1725,212,1792,196,458,238,4055,245,4215,215,,0,13.5747827,0.9044335244,0.818
Julep,87,170,128,414,101,1025,164,1001,122,157,76,2091,170,2385,149,,,,,
Argyle,52,138,93,292,59,720,131,682,74,127,44,1556,137,1485,94,,,,,
Evergreens,64,88,64,235,34,404,77,447,21,134,52,1071,95,1260,75,,,,,
Intense Teal,1,118,128,239,36,571,109,834,100,123,39,1479,132,2205,140,,,,,
Waterfall,192,227,218,1067,213,1955,224,2404,233,295,171,2984,210,3525,195,,,,,
Briny,8,128,142,280,54,665,123,983,120,140,59,1556,137,2385,149,,,,,
Major Blue,40,158,196,392,94,955,157,1652,186,211,121,2550,193,4515,223,,,,,
Jacaranda,90,158,192,460,113,978,159,1617,183,276,161,2423,187,3795,203,,,,,
Magical,192,175,208,1015,207,1263,183,2064,214,445,233,2576,194,4290,218,,,,,
Ruby Violet,155,126,139,637,152,725,131,1045,128,286,166,1607,141,2355,148,,,,,
Hot Cocoa,128,98,87,400,96,450,87,549,47,153,72,893,75,1080,57,,,,,
Contented,189,192,179,920,195,1401,193,1683,188,307,177,2372,185,3090,179,,,,,
Dried Thyme,123,128,112,454,111,733,132,823,98,113,26,893,75,1063,55,,,,,
Faded Flaxflower,158,180,192,781,176,1287,185,1826,198,226,131,1836,156,2685,163,,,,,
Krypton,184,192,195,891,191,1391,192,1866,201,382,210,2703,199,3585,197,,,,,
Darkroom,68,62,64,240,36,328,57,452,22,146,65,893,75,1170,66,,,,,
Black Bean,64,51,48,217,24,283,43,372,-2,130,47,816,65,1125,61,,,,,
Salty Dog,35,64,88,201,15,319,55,502,36,105,15,740,54,1005,48,,,,,
Naval,47,61,76,217,24,336,59,497,34,73,-40,612,33,720,9,,,,,
Undercool,127,195,225,706,164,1503,199,2429,234,219,126,2397,186,3840,205,,,,,
Salute,128,53,50,425,104,316,54,431,17,176,93,689,46,840,27,,,,,
Andiron,66,64,54,231,32,327,57,405,9,121,37,816,65,990,46,,,,,
Poolhouse,128,149,160,493,121,843,145,1192,144,136,54,1097,98,1575,101,,,,,
Sheraton Sage,143,134,102,526,129,742,133,776,90,328,187,1760,151,1920,124,,,,,
Roycroft Rose,192,143,128,849,186,854,147,1033,126,272,159,1275,115,1575,101,,,,,
Pink Flamingo,205,113,123,1040,210,693,127,1009,123,437,231,1556,137,2100,134,,,,,
Rookwood Shutter Green,48,59,57,205,17,308,51,400,7,128,45,791,61,990,46,,,,,
Rookwood Amber,192,134,80,758,172,720,131,688,75,163,82,740,54,780,19,,,,,
Downing Slate,119,127,134,429,105,662,123,900,109,125,41,791,61,990,46,,,,,
Roycroft Bottle Green,50,64,56,225,28,350,63,438,19,109,21,740,54,945,41,,,,,
