ICAO,IATA,Name,City,Country,Altitude,Latitude,Longitude
PKMA,1Z8,ENEWETAK AUX AF,ENIWETOK ISLAND,MARSHALL ISLANDS,4,11.341,162.328
NTGA,AAA,ANAA,ANAA,FRENCH POLYNESIA,4,-17.353,-145.51
DABB,AAE,ANNABA,ANNABA,ALGERIA,5,36.822,7.809
EDKA,AAH,AACHEN MERZBRUCK,AACHEN,GERMANY,190,50.823,6.187
EKYT,AAL,AALBORG,AALBORG,DENMARK,4,57.093,9.849
SVAN,AAO,ANACO,ANACO,VENEZUELA,220,9.429,-64.471
EKAH,AAR,AARHUS,AARHUS,DENMARK,25,56.304,10.619
ODAG,AAY,N/A,AL GHAIDA,YEMEN,0,0,0
UNAA,ABA,ABAKAN,ABAKAN,RUSSIA,254,53.74,91.385
OIAA,ABD,ABADAN,ABADAN,IRAN,4,30.365,48.233
KABE,ABE,Lehigh Valley International Airport (was Allentown–Bethlehem–Easton International Airport),ALLENTOWN,USA,N/A,N/A,N/A
NGAB,ABF,N/A,ABAIANG,KIRIBATI,0,0,0
KABI,ABI,ABILENE RGNL,ABILENE,USA,546,32.411,-99.682
DIAP,ABJ,ABIDJAN FELIX HOUPHOUET BOIGNY INTERNATIONAL,ABIDJAN,IVORY COAST,7,5.26,-3.926
HADK,ABK,N/A,KABRE DARE,ETHIOPIA,0,0,0
YBAM,ABM,BAMAGA INJINOO,AMBERLEY,AUSTRALIA,11,-10.951,142.459
KABQ,ABQ,N/A,ALBUQUERQUE,USA,0,0,0
KABR,ABR,Aberdeen Regional Airport,ABERDEEN,USA,N/A,N/A,N/A
HEBL,ABS,ABU SIMBEL,ABU SIMBEL,EGYPT,188,22.376,31.612
OEBA,ABT,AL BAHA,EL-BAHA,SAUDI ARABIA,1673,20.296,41.634
WRKA,ABU,N/A,ATAMBUA,INDONESIA,0,0,0
DNAA,ABV,ABUJA NNAMDI AZIKIWE INTERNATIONAL,ABUJA,NIGERIA,343,9.007,7.263
YMAY,ABX,ALBURY,ALBURY,AUSTRALIA,165,-36.068,146.958
KNAB,ABY,N/A,ALBANY,USA,0,0,0
EGPD,ABZ,DYCE,ABERDEEN,UK,66,57.204,-2.2
MMAA,ACA,GENERAL JUAN N ALVAREZ INTERNATIONAL,ACAPULCO,MEXICO,5,16.757,-99.753
DGAA,ACC,KOTOKA INTERNATIONAL,ACCRA,GHANA,63,5.603,-0.168
GCRR,ACE,LANZAROTE,LANZEROTE,CANARY ISLANDS,15,28.945,-13.605
LSZR,ACH,ST GALLEN ALTENRHEIN,ALTENRHEIN,SWITZERLAND,399,47.485,9.561
EGJA,ACI,N/A,ALDERNEY,ENGLAND,0,0,0
KACK,ACK,NANTUCKET MEM,NANTUCKET,USA,15,41.253,-70.06
KACT,ACT,WACO RGNL,WACO,USA,158,31.611,-97.23
KACV,ACV,California Redwood Coast–Humboldt County Airport,ARCATA/EUREKA,USA,N/A,N/A,N/A
KACY,ACY,ATLANTIC CITY INTERNATIONAL,ATLANTIC CITY,USA,23,39.458,-74.577
LTAF,ADA,ADANA,ADANA,TURKEY,20,36.982,35.28
LTBJ,ADB,ADNAN MENDERES,IZMIR,TURKEY,126,38.292,27.157
HAAB,ADD,BOLE INTERNATIONAL,ADDIS ABABA,ETHIOPIA,2323,8.977,38.8
ODAA,ADE,N/A,ADEN,YEMEN,0,0,0
UEEA,ADH,ADA MUNI,ALDAN,RUSSIA,310,34.804,-96.671
FAAR,ADI,N/A,ARANDIS,NAMIBIA,0,0,0
OJAM,ADJ,MARKA INTERNATIONAL,AMMAN,JORDAN,779,31.972,35.991
PADK,ADK,ADAK,ADAK ISLAND,USA,7,51.878,-176.646
YPAD,ADL,ADELAIDE INTERNATIONAL,ADELAIDE,AUSTRALIA,7,-34.945,138.531
KADM,ADM,ARDMORE MUNI,ARDMORE,USA,233,34.303,-97.019
PADQ,ADQ,KODIAK,KODIAK,USA,23,57.75,-152.494
KADW,ADW,ANDREWS AFB,CAMP SPRINGS,USA,86,38.811,-76.867
EGQL,ADX,LEUCHARS,LEUCHARS,UK,12,56.373,-2.868
SKSP,ADZ,GUSTAVO ROJAS PINILLA,SAN ANDRES ISLAND,COLOMBIA,6,12.583,-81.711
NGTB,AEA,N/A,ABEMAMA ATOLL,KIRIBATI,0,0,0
FTTC,AEH,ABECHE,ABECHE,CHAD,545,13.847,20.844
SABE,AEP,AEROPARQUE JORGE NEWBERY,BUENOS AIRES,ARGENTINA,6,-34.559,-58.416
URSS,AER,SOCHI,SOCHI,RUSSIA,28,43.446,39.947
ENAL,AES,VIGRA,ALESUND,NORWAY,22,62.56,6.11
KAEX,AEX,ALEXANDRIA INTERNATIONAL,ALEXANDRIA,USA,28,31.327,-92.548
BIAR,AEY,AKUREYRI,AKUREYRI,ICELAND,2,65.66,-18.072
SAMR,AFA,SAN RAFAEL,SAN RAFAEL,ARGENTINA,753,-34.588,-68.403
SBAT,AFL,ALTA FLORESTA,ALTA FLORESTA,BRAZIL,289,-9.866,-56.106
LTAH,AFY,AFYON,AFYON,TURKEY,1009,38.726,30.601
GMAA,AGA,INEZGANE,AGADIR,MOROCCO,28,30.381,-9.546
EDMA,AGB,AUGSBURG,AUGSBURG,GERMANY,462,48.425,10.932
EDWG,AGE,N/A,WANGEROOGE,GERMANY,0,0,0
LFBA,AGF,LA GARENNE,AGEN,FRANCE,63,44.175,0.591
ESDB,AGH,ANGELHOLM,ANGELHOLM,SWEDEN,21,56.296,12.847
RORA,AGJ,N/A,AGUNI,JAPAN,0,0,0
LEMG,AGP,MALAGA,MALAGA,SPAIN,16,36.674,-4.499
LGAG,AGQ,AGRINION,AGRINION,GREECE,30,38.602,21.351
VIAG,AGR,AGRA,AGRA,INDIA,168,27.156,77.961
KAGS,AGS,AUGUSTA RGNL AT BUSH FLD,BUSH FIELD,USA,44,33.37,-81.964
MMAS,AGU,JESUS TERAN INTERNATIONAL,AGUASCALIENTES,MEXICO,1863,21.705,-102.318
SVAC,AGV,OSWALDO GUEVARA MUJICA,ACARIGUA,VENEZUELA,196,9.553,-69.238
VOAT,AGX,AGATTI,AGATTI ISLAND,INDIA,4,10.823,72.176
FAAG,AGZ,AGGENEYS,AGGENEYS,SOUTH AFRICA,808,-29.282,18.814
OEAB,AHB,ABHA,ABHA,SAUDI ARABIA,2091,18.24,42.656
LIEA,AHO,ALGHERO,ALGHERO,ITALY,27,40.632,8.291
GMTA,AHU,CHERIF EL IDRISSI,AL HOCIEMA,MOROCCO,28,35.177,-3.839
FEFY,AIG,YALINGA,YALINGA,CENTRAL AFRICAN REP.,464,45.154,-89.111
PAWT,AIN,WAINWRIGHT AS,FORT WAINWRIGHT,USA,11,70.613,-159.86
NGTR,AIS,N/A,ARORAE ISLAND,KIRIBATI,0,0,0
NCAI,AIT,AITUTAKI,AITUTAKI,COOK ISLANDS,7,-18.825,-159.774
NCAT,AIU,N/A,ATIU ISLAND,COOK ISLANDS,0,0,0
LFKJ,AJA,CAMPO DELL ORO,AJACCIO,CORSE ISL.,6,41.924,8.803
GQNJ,AJJ,N/A,AKJOUJT,MAURITANIA,0,0,0
VEAZ,AJL,AIZAWL,AIZWAL,INDIA,306,23.746,92.803
FMCV,AJN,ANJOUAN OUANI,ANJOUAN,COMOROS ISLANDS,19,-12.132,44.43
OESK,AJO,AL JOUF,AL-JOUF,SAUDI ARABIA,690,29.785,40.1
ESNX,AJR,ARVIDSJAUR,ARVIDSJAUR,SWEDEN,380,65.59,19.282
SBAR,AJU,SANTA MARIA,ARACAJU,BRAZIL,8,-10.984,-37.07
DRZA,AJY,MANU DAYAK,AGADEZ,NIGER,506,16.965,7.997
VAAK,AKD,AKOLA,AKOLA,INDIA,305,20.699,77.056
HLKF,AKF,KUFRA,KUFRA,LIBYA,417,24.179,23.314
RJEC,AKJ,ASAHIKAWA,ASAHIKAWA,JAPAN,220,43.671,142.447
NZAA,AKL,AUCKLAND INTERNATIONAL,AUCKLAND,NEW ZEALAND,8,-37.008,174.792
PAKN,AKN,KING SALMON,KING SALMON,USA,18,58.677,-156.649
DNAK,AKR,AKURE,AKURE,NIGERIA,336,7.247,5.301
LCRA,AKT,AKROTIRI,AKROTIRI,CYPRUS,24,34.59,32.988
UATT,AKX,AKTYUBINSK,AKTYUBINSK,RUSSIA,225,50.245,57.203
VYSW,AKY,SITTWE,SITTWE,MYANMAR,9,20.133,92.872
UAAA,ALA,ALMATY,ALMA-ATA,KAZAKHSTAN,681,43.352,77.04
KALB,ALB,ALBANY INTERNATIONAL,ALBANY,USA,87,42.748,-73.803
LEAL,ALC,ALICANTE,ALICANTE,SPAIN,44,38.282,-0.558
ENAT,ALF,ALTA,ALTA,NORWAY,3,69.977,23.366
DAAG,ALG,HOUARI BOUMEDIENE,ALGIER,ALGERIA,25,36.691,3.215
KALI,ALI,ALICE INTERNATIONAL,ALICE,USA,55,27.741,-98.027
FAAB,ALJ,ALEXANDER BAY,ALEXANDER BAY,SOUTH AFRICA,30,-28.575,16.533
LIMG,ALL,ALBENGA,ALBENGA,ITALY,46,44.051,8.127
KALO,ALO,Waterloo Regional Airport,WATERLOO,USA,N/A,N/A,N/A
OSAP,ALP,ALEPPO INTERNATIONAL,ALEPPO,SYRIA,389,36.181,37.224
NZLX,ALR,ALEXANDRA,ALEXANDRA,NEW ZEALAND,230,-45.212,169.373
KALS,ALS,San Luis Valley Regional Airport (Bergman Field),ALAMOSA,USA,N/A,N/A,N/A
HCMA,ALU,N/A,ALULA,SOMALIA,0,0,0
KALW,ALW,Walla Walla Regional Airport,WALLA WALLA,USA,N/A,N/A,N/A
HEAX,ALY,ALEXANDRIA INTERNATIONAL,ALEXANDRIA,EGYPT,-1,31.184,29.949
KAMA,AMA,AMARILLO INTERNATIONAL,AMARILLO,USA,1100,35.219,-101.706
FMNE,AMB,AMBILOBE MAHAVAVY,AMBILOBE,MADAGASCAR,22,-13.188,48.988
FTTN,AMC,N/A,AM-TIMAN,CHAD,0,0,0
VAAH,AMD,AHMEDABAD,AHMEDABAD,INDIA,58,23.075,72.632
HAAM,AMH,N/A,ARBA MINCH,ETHIOPIA,0,0,0
WRRA,AMI,SELAPARANG,MATARAM,INDONESIA,16,-8.561,116.094
OJAI,AMM,QUEEN ALIA INTERNATIONAL,AMMAN,JORDAN,730,31.722,35.993
FTTU,AMO,N/A,MAO,CHAD,0,0,0
FMSY,AMP,N/A,AMPANIHY,MADAGASCAR,0,0,0
WAPP,AMQ,PATTIMURA,AMBON,INDONESIA,11,-3.709,128.09
EHAM,AMS,SCHIPHOL,AMSTERDAM,NETHERLANDS,-3,52.309,4.764
KANB,ANB,ANNISTON METROPOLITAN,ANNISTON,USA,187,33.588,-85.858
PANC,ANC,TED STEVENS ANCHORAGE INTERNATIONAL,ANCHORAGE,USA,47,61.174,-149.996
KAND,AND,ANDERSON RGNL,ANDERSEN,USA,239,34.495,-82.709
SCFA,ANF,CERRO MORENO INTERNATIONAL,ANTOFAGASTA,CHILE,139,-23.444,-70.445
LFBU,ANG,BRIE CHAMPNIERS,ANGOULEME,FRANCE,133,45.729,0.221
LTAD,ANK,ETIMESGUT,ANKARA,TURKEY,800,39.95,32.689
FMNH,ANM,ANTALAHA ANTSIRABATO,ANTALAHA,MADAGASCAR,7,-14.999,50.32
PANT,ANN,ANNETTE ISLAND,ANNETTE ISLAND,USA,37,55.042,-131.572
FQAG,ANO,N/A,ANGOCHE,MOZAMBIQUE,0,0,0
EBAW,ANR,DEURNE,ANTWERP,BELGIUM,12,51.19,4.463
SPHY,ANS,ANDAHUAYLAS,ANDAHUAYLAS,PERU,3445,-13.706,-73.35
TAPA,ANU,V C BIRD INTERNATIONAL,ANTIGUA,LEEWARD ISLANDS,19,17.137,-61.792
ENAN,ANX,ANDOYA,ANDOYA,NORWAY,14,69.293,16.144
EDAC,AOC,ALTENBURG NOBITZ,ALTENBURG,GERMANY,196,50.982,12.506
RJSA,AOJ,AOMORI,AOMORI,JAPAN,203,40.734,140.691
LGKP,AOK,KARPATHOS,KARPATHOS,GREECE,21,35.421,27.146
SARL,AOL,PASO DE LOS LIBRES,PASO DE LOS LIBRES,ARGENTINA,71,-29.689,-57.152
KAOO,AOO,ALTOONA BLAIR CO,ALTOONA,USA,459,40.296,-78.32
WMKA,AOR,SULTAN ABDUL HALIM,ALOR SETAR,MALAYSIA,5,6.194,100.403
SLAP,APB,APOLO,APOLO,BOLIVIA,1415,-14.739,-68.411
KAPG,APG,PHILLIPS AAF,ABERDEEN,USA,18,39.466,-76.169
NTGD,APK,N/A,APATAKI,TUAMOTU ISLANDS,0,0,0
FQNP,APL,NAMPULA,NAMPULA,MOZAMBIQUE,441,-15.106,39.282
KAPN,APN,Alpena County Regional Airport,ALPENA,USA,N/A,N/A,N/A
NSAP,APW,N/A,APIA,SAMOA,0,0,0
SBAQ,AQA,ARARAQUARA,ARARACUARA,BRAZIL,712,-21.812,-48.133
OEPA,AQI,QAISUMAH,HAFR AL-BATIN,SAUDI ARABIA,358,28.335,46.125
OJAQ,AQJ,AQABA INTERNATIONAL,AQABA,JORDAN,54,29.611,35.018
SPQU,AQP,RODRIGUEZ BALLON,AREQUIPA,PERU,2593,-16.341,-71.583
KARA,ARA,ACADIANA REGIONAL,LOUISIANA,USA,8,30.038,-91.884
SCAR,ARI,CHACALLUTA,ARICA,CHILE,51,-18.348,-70.339
HTAR,ARK,ARUSHA,ARUSHA,TANZANIA,1387,-3.368,36.633
ESSA,ARN,ARLANDA,STOCKHOLM,SWEDEN,38,59.652,17.919
SAVR,ARR,N/A,ALTO RIO SENGUERR,ARGENTINA,0,0,0
KART,ART,WATERTOWN INTERNATIONAL,WATERTOWN,USA,100,43.992,-76.022
SBAU,ARU,ARACATUBA,ARACATUBA,BRAZIL,415,-21.141,-50.425
LRAR,ARW,ARAD,ARAD,ROMANIA,108,46.176,21.262
FNZE,ARZ,N/A,N'ZETO,ANGOLA,0,0,0
HASB,ASA,N/A,ASSAB,ETHIOPIA,0,0,0
UTAA,ASB,ASHGABAT,ASHKHABAD,RUSSIA,211,37.992,58.363
MYAF,ASD,ANDROS TOWN,ANDROS TOWN,BAHAMAS,2,24.698,-77.796
KASE,ASE,Aspen/Pitkin County Airport (Sardy Field),ASPEN,USA,N/A,N/A,N/A
URWA,ASF,ASTRAKHAN,ASTRAKHAN,RUSSIA,-19,46.283,48.006
RJKA,ASJ,AMAMI,AMAMI,JAPAN,9,28.431,129.712
DIYO,ASK,YAMOUSSOUKRO,YAMOUSSOUKRO,IVORY COAST,214,6.903,-5.366
HAAY,ASM,N/A,ASMARA,ETHIOPIA,0,0,0
HASO,ASO,N/A,ASOSA,ETHIOPIA,0,0,0
YBAS,ASP,ALICE SPRINGS,ALICE SPRINGS,AUSTRALIA,546,-23.807,133.902
LTAU,ASR,ERKILET,KAYSERI,TURKEY,1069,38.77,35.495
SGAS,ASU,SILVIO PETTIROSSI INTERNATIONAL,ASUNCION,PARAGUAY,90,-25.24,-57.519
HKAM,ASV,N/A,AMBOSELI,KENYA,0,0,0
HESN,ASW,ASWAN INTERNATIONAL,ASWAN,EGYPT,202,23.964,32.82
SPHZ,ATA,COMMANDANTE FAP GERMAN ARIAS GRAZZIANI,ANTA,PERU,2750,-9.347,-77.598
HSAT,ATB,N/A,ATBARA,SUDAN,0,0,0
SEAM,ATF,CHACHOAN,AMBATO,ECUADOR,2573,-1.212,-78.574
SUAG,ATI,ARTIGAS INTERNATIONAL,ARTIGAS,URUGUAY,125,-30.401,-56.508
FMME,ATJ,N/A,ANTSIRABE,MADAGASCAR,0,0,0
KATL,ATL,THE WILLIAM B HARTSFIELD ATLANTA INTERNATIONAL,ATLANTA,USA,313,33.64,-84.427
SBHT,ATM,ALTAMIRA,ALTAMIRA,BRAZIL,113,-3.254,-52.254
VIAR,ATQ,AMRITSAR,AMRITSAR,INDIA,231,31.707,74.799
GQPA,ATR,ATAR,ATAR,MAURITANIA,232,20.507,-13.043
FTTI,ATV,N/A,ATI,CHAD,0,0,0
KATW,ATW,Appleton International Airport,APPLETON,USA,N/A,N/A,N/A
KATY,ATY,Watertown Regional Airport,WATERTOWN,USA,N/A,N/A,N/A
TNCA,AUA,REINA BEATRIX INTERNATIONAL,ORANJESTAD,ARUBA,19,12.501,-70.015
SKUC,AUC,SANTIAGO PEREZ,ARAUCA,COLOMBIA,122,7.069,-70.737
LFLA,AUF,BRANCHES,AUXERRE,FRANCE,160,47.85,3.497
KAUG,AUG,AUGUSTA STATE,AUGUSTA,USA,108,44.321,-69.797
OMAA,AUH,ABU DHABI INTERNATIONAL,ABU DHABI,UNITED ARAB EMIRATES,27,24.433,54.651
LFLW,AUR,AURILLAC,AURILLAC,FRANCE,639,44.891,2.422
KAUS,AUS,AUSTIN BERGSTROM INTERNATIONAL,AUSTIN,USA,166,30.194,-97.67
LIPA,AVB,AVIANO AB,AVIANO,ITALY,126,46.032,12.596
MUCA,AVI,MAXIMO GOMEZ,CIEGO DE AVILA,CUBA,103,22.027,-78.789
KAVL,AVL,Asheville Regional Airport,ASHEVILLE,USA,N/A,N/A,N/A
LFMV,AVN,CAUMONT,AVIGNON,FRANCE,38,43.907,4.902
