School Name,County,Mailing Address,Location,Class,Region
Ashland District School,Aroostook,"180 Presque Isle Road Ashland, ME 04732","Ashland, ME",D,North
Bangor High School,Penobscot,"885 Broadway Bangor, ME 04401","Bangor, ME",AA,North
Belfast Area High School,Waldo,"98 Waldo Avenue Belfast, ME 04915","Belfast, ME",B,North
Biddeford High School,York,"20 Maplewood Ave Biddeford, ME 04005","Biddeford, ME",A,South
Bonny Eagle High School,Cumberland,"700 Saco Road Standish, ME 04084","Standish, ME",AA,South
Boothbay Region High School,Lincoln,"236 Townsend Avenue Boothbay Harbor, ME 04538","Boothbay Harbor, ME",C,South
Brewer High School,Penobscot,"79 Parkway south Brewer, ME 04412","Brewer, ME",A,North
Brunswick High School,Cumberland,"116 Maquoit Road Brunswick, ME 04011","Brunswick, ME",A,South
Buckfield Jr-Sr High School,Oxford,"160 Morrill Street Buckfield, ME 04220","Buckfield, ME",C,South
Bucksport High School,Hancock,"102 Broadway Bucksport, ME 04416","Bucksport, ME",C,North
Calais Middle/High School,Washington,"34 Blue Devil Hill Suite 2 Calais, ME 04619","Calais, ME",C,North
Camden Hills Regional H S,Knox,"25 Keelson Drive Rockport, ME 04856","Rockport, ME",A,North
Cape Elizabeth High School,Cumberland,"345 Ocean House Road Cape Elizabeth, ME 04107","Cape Elizabeth, ME",B,South
Caribou High School,Aroostook,"308 Sweden ST Caribou, ME 04736","Caribou, ME",B,North
Carrabec High School,Somerset,"160 N Main Street North Anson, ME 04958","North Anson, ME",C,South
Casco Bay High School,Cumberland,"196 Allen Avenue Portland, ME 04103","Portland, ME",D,South
Central Aroostook Jr-Sr H S,Aroostook,"26 Pleasant Street Mars Hill, ME 04758","Mars Hill, ME",C,North
Central High School,Penobscot,"402 Main Street Corinth, ME 04427","Corinth, ME",C,North
Cony,Kennebec,"60 Pierce Drive Augusta, ME 04330","Augusta, ME",A,North
Deer Isle-Stonington High Sch,Hancock,"251 North Deer Isle Road Deer Isle, ME 04627","Deer Isle, ME",D,North
Deering High School,Cumberland,"370 Stevens Avenue Portland, ME 04103","Portland, ME",AA,North
Dexter Regional High School,Penobscot,"12 Abbott Hill Rd Dexter, ME 04930","Dexter, ME",C,North
Dirigo High School,Oxford,"145 Weld Street Dixfield, ME 04224","Dixfield, ME",C,South
East Grand School,Washington,"31 Houlton Road Danforth, ME 04424","Danforth, ME",D,North
Easton Junior-Senior High Sch,Aroostook,"173 Center Road Easton, ME 04740","Easton, ME",D,North
Edward Little High School,Androscoggin,"77 Harris Street Auburn, ME 04210","Auburn, ME",AA,North
Ellsworth High School,Hancock,"299 State Street Ellsworth, ME 04605","Ellsworth, ME",B,North
Falmouth High School,Cumberland,"74 Woodville Road Falmouth, ME 04105","Falmouth, ME",A,South
Forest Hills Consolidated School,Somerset,"606 Main Street Jackman, ME 04945","Jackman, ME",D,South
Fort Fairfield Middle/High School,Aroostook,"28 High School Drive Suite A Fort Fairfield, ME 04742","Fort Fairfield, ME",C,North
Fort Kent Community High School,Aroostook,"84 Pleasant Street Fort Kent, ME 04743","Fort Kent, ME",C,North
Freeport High School,Cumberland,"30 Holbrook Street Freeport, ME 04032","Freeport, ME",B,South
Gardiner Area High School,Kennebec,"40 West Hill Road Gardiner, ME 04345","Gardiner, ME",A,North
Gorham High School,Cumberland,"41 Morrill Avenue Gorham, ME 04038","Gorham, ME",AA,South
Gray-New Gloucester High School,Cumberland,"10 Libby Hill Road Gray, ME 04039","Gray, ME",B,South
Greely High School,Cumberland,"303 Main Street Cumberland, ME 04021","Cumberland, ME",A,South
Greenville Consolidated School,Piscataquis,"130 Pritham Ave Greenville, ME 04441","Greenville, ME",D,South
Hall-Dale Middle and High School,Kennebec,"111 Maple ST Farmingdale, ME 04344","Farmingdale, ME",C,South
Hampden Academy,Penobscot,"89 Western Avenue Hampden, ME 04444","Hampden, ME",A,North
Hermon High School,Penobscot,"2415 Route 2 Hermon, ME 04401","Hermon, ME",B,North
Hodgdon Middle/High School,Aroostook,"175 Hodgdon Mills Road Hodgdon, ME 04730","Hodgdon, ME",C,North
Houlton High School,Aroostook,"7 Bird Street Houlton, ME 04730","Houlton, ME",C,North
Islesboro Central School,Waldo,"159 Alumni Drive Islesboro, ME 04848","Islesboro, ME",D,South
Jonesport-Beals High School,Washington,"180 Snare Creek Lane Jonesport, ME 04649","Jonesport, ME",D,North
Katahdin Middle/High School,Penobscot,"800 Station Road Stacyville, ME 04777","Stacyville, ME",D,North
Kennebunk High School,York,"89 Fletcher Street Kennebunk, ME 04043","Kennebunk, ME",A,South
Lake Region High School,Cumberland,"1877 Roosevelt Trail Naples, ME 04055","Naples, ME",B,South
Lawrence High School,Somerset,"9 School Street Fairfield, ME 04937","Fairfield, ME",A,North
Leavitt Area High School,Androscoggin,"21 Matthews Way Turner, ME 04282","Turner, ME",A,South
Lewiston High School,Androscoggin,"156 East Avenue Lewiston, ME 04240","Lewiston, ME",AA,North
Lisbon High School,Androscoggin,"2 Sugg Drive Lisbon Falls, ME 04252","Lisbon Falls, ME",B,South
Machias Memorial High School,Washington,"1 Bulldog Lane Machias, ME 04654","Machias, ME",D,North
Madawaska Middle/High School,Aroostook,"135 Seventh Avenue Madawaska, ME 04756","Madawaska, ME",C,North
